user_id,course_id,certificate
1,2,1
7858,2,1
7859,2,0
7860,2,2
7861,2,1
7862,2,0
7863,2,0
7864,2,0
7865,2,0
7866,2,0
7867,2,2
7868,2,1
7869,2,1
7870,2,1
7871,2,0
7872,2,1
7873,2,1
7874,2,1
7888,2,1
7887,2,1
7886,2,2
7885,2,2
7884,2,2
7883,2,0
7857,2,2
7882,2,0
7880,2,0
7879,2,0
7878,2,0
7877,2,0
7876,2,1
7875,2,1
7881,2,2
7889,2,0
7856,2,0
7854,2,1
7823,2,0
7824,2,0
7825,2,0
7826,2,0
7827,2,1
7828,2,1
7829,2,2
7830,2,0
7831,2,2
7832,2,2
7833,2,0
7834,2,2
7835,2,1
7836,2,2
7837,2,0
7838,2,0
7839,2,1
7853,2,1
7852,2,2
7851,2,0
7850,2,2
7849,2,1
7848,2,1
7855,2,2
7847,2,0
7845,2,0
7844,2,0
7843,2,1
7842,2,1
7841,2,2
7840,2,0
7846,2,1
7822,2,1
7890,2,0
7892,2,1
7928,2,0
7929,2,1
7930,2,2
7931,2,0
7932,2,0
7933,2,1
7934,2,0
7935,2,0
7936,2,0
7937,2,0
7938,2,0
7939,2,0
7940,2,1
7941,2,0
7942,2,0
7943,2,2
7944,2,0
7958,2,1
7957,2,0
7956,2,2
7955,2,0
7954,2,0
7953,2,0
7927,2,1
7952,2,2
7950,2,0
7949,2,1
7948,2,0
7947,2,0
7946,2,2
7945,2,2
7951,2,0
7891,2,0
7926,2,1
7924,2,2
7893,2,0
7894,2,2
7895,2,0
7896,2,2
7897,2,2
7898,2,1
7899,2,1
7900,2,1
7901,2,1
7902,2,2
7903,2,0
7904,2,0
7905,2,0
7906,2,0
7907,2,0
7908,2,0
7909,2,0
7923,2,0
7922,2,2
7921,2,0
7920,2,0
7919,2,2
7918,2,0
7925,2,1
7917,2,2
7915,2,0
7914,2,0
7913,2,0
7912,2,2
7911,2,0
7910,2,0
7916,2,1
7821,2,0
7820,2,1
7819,2,2
7717,2,1
7718,2,0
7719,2,1
7720,2,2
7721,2,1
7722,2,0
7723,2,0
7724,2,1
7725,2,0
7726,2,2
7727,2,1
7728,2,1
7729,2,0
7730,2,1
7731,2,1
7732,2,0
7733,2,0
7747,2,0
7746,2,0
7745,2,1
7744,2,0
7743,2,2
7742,2,2
7716,2,1
7741,2,0
7739,2,0
7738,2,0
7737,2,0
7736,2,1
7735,2,2
7734,2,0
7740,2,0
7748,2,0
7715,2,1
7713,2,0
7682,2,1
7683,2,1
7684,2,0
7685,2,0
7686,2,2
7687,2,0
7688,2,0
7689,2,0
7690,2,2
7691,2,0
7692,2,0
7693,2,2
7694,2,0
7695,2,0
7696,2,0
7697,2,0
7698,2,0
7712,2,0
7711,2,1
7710,2,0
7709,2,2
7708,2,0
7707,2,1
7714,2,0
7706,2,0
7704,2,1
7703,2,1
7702,2,1
7701,2,0
7700,2,0
7699,2,1
7705,2,0
7749,2,0
7750,2,0
7751,2,0
7788,2,1
7789,2,0
7790,2,2
7791,2,2
7792,2,1
7793,2,0
7794,2,0
7795,2,2
7796,2,1
7797,2,1
7798,2,1
7799,2,0
7800,2,0
7801,2,0
7802,2,2
7803,2,1
7804,2,2
7818,2,2
7817,2,0
7816,2,1
7815,2,1
7814,2,1
7813,2,2
7787,2,0
7812,2,1
7810,2,0
7809,2,0
7808,2,2
7807,2,2
7806,2,2
7805,2,0
7811,2,1
7786,2,2
7785,2,2
7784,2,0
7765,2,0
7764,2,1
7763,2,1
7762,2,0
7761,2,0
7760,2,0
7766,2,0
7759,2,0
7757,2,1
7756,2,1
7755,2,2
7754,2,0
7753,2,1
7752,2,1
7758,2,0
7959,2,0
7767,2,2
7769,2,0
7783,2,1
7782,2,2
7781,2,0
7780,2,0
7779,2,1
7778,2,0
7768,2,0
7777,2,1
7775,2,1
7774,2,2
7773,2,2
7772,2,2
7771,2,2
7770,2,0
7776,2,0
7681,2,1
7960,2,1
7962,2,1
8140,2,2
8141,2,0
8142,2,0
8143,2,1
8144,2,0
8145,2,2
8146,2,0
8147,2,2
8148,2,0
8149,2,0
8150,2,0
8151,2,0
8152,2,1
8153,2,0
8154,2,1
8155,2,1
8156,2,0
8170,2,1
8169,2,0
8168,2,2
8167,2,0
8166,2,1
8165,2,0
8139,2,1
8164,2,0
8162,2,1
8161,2,0
8160,2,0
8159,2,0
8158,2,0
8157,2,2
8163,2,0
8171,2,2
8138,2,2
8136,2,2
8105,2,1
8106,2,1
8107,2,1
8108,2,0
8109,2,2
8110,2,0
8111,2,0
8112,2,2
8113,2,0
8114,2,1
8115,2,0
8116,2,1
8117,2,0
8118,2,0
8119,2,1
8120,2,0
8121,2,2
8135,2,1
8134,2,1
8133,2,1
8132,2,1
8131,2,0
8130,2,0
8137,2,2
8129,2,0
8127,2,0
8126,2,2
8125,2,1
8124,2,1
8123,2,2
8122,2,0
8128,2,1
8104,2,0
8172,2,0
8174,2,1
8210,2,0
8211,2,0
8212,2,1
8213,2,0
8214,2,1
8215,2,2
8216,2,2
8217,2,0
8218,2,0
8219,2,0
8220,2,2
8221,2,0
8222,2,0
8223,2,2
8224,2,1
8225,2,0
8226,2,1
8240,2,2
8239,2,2
8238,2,1
8237,2,2
8236,2,1
8235,2,2
8209,2,0
8234,2,0
8232,2,2
8231,2,2
8230,2,0
8229,2,2
8228,2,2
8227,2,1
8233,2,0
8173,2,2
8208,2,0
8206,2,0
8175,2,1
8176,2,2
8177,2,2
8178,2,0
8179,2,1
8180,2,1
8181,2,0
8182,2,1
8183,2,2
8184,2,0
8185,2,0
8186,2,0
8187,2,2
8188,2,0
8189,2,0
8190,2,1
8191,2,0
8205,2,0
8204,2,0
8203,2,2
8202,2,1
8201,2,1
8200,2,2
8207,2,0
8199,2,1
8197,2,0
8196,2,0
8195,2,2
8194,2,2
8193,2,0
8192,2,0
8198,2,0
8103,2,1
8102,2,0
8101,2,0
7999,2,0
8000,2,0
8001,2,0
8002,2,2
8003,2,0
8004,2,1
8005,2,1
8006,2,2
8007,2,1
8008,2,0
8009,2,1
8010,2,0
8011,2,1
8012,2,1
8013,2,0
8014,2,0
8015,2,1
8029,2,2
8028,2,1
8027,2,1
8026,2,1
8025,2,2
8024,2,2
7998,2,1
8023,2,2
8021,2,2
8020,2,2
8019,2,1
8018,2,2
8017,2,0
8016,2,0
8022,2,0
8030,2,1
7997,2,2
7995,2,2
7963,2,1
7964,2,2
7965,2,1
7966,2,1
7967,2,0
7968,2,1
7969,2,1
7970,2,1
7971,2,0
7972,2,0
7973,2,1
7974,2,2
7975,2,0
7976,2,0
7977,2,0
7978,2,0
7979,2,2
7994,2,0
7993,2,0
7992,2,2
7991,2,1
7990,2,0
7989,2,1
7996,2,0
7987,2,0
7985,2,0
7984,2,0
7983,2,2
7982,2,0
7981,2,0
7980,2,0
7986,2,0
8031,2,0
8032,2,1
8033,2,0
8070,2,1
8071,2,2
8072,2,0
8073,2,2
8074,2,1
8075,2,0
8076,2,0
8077,2,1
8078,2,0
8079,2,1
8080,2,1
8081,2,2
8082,2,2
8083,2,1
8084,2,0
8085,2,1
8086,2,2
8100,2,1
8099,2,2
8098,2,2
8097,2,0
8096,2,0
8095,2,0
8069,2,0
8094,2,2
8092,2,0
8091,2,2
8090,2,0
8089,2,0
8088,2,1
8087,2,0
8093,2,2
8068,2,2
8067,2,0
8066,2,0
8047,2,0
8046,2,0
8045,2,1
8044,2,0
8043,2,0
8042,2,0
8048,2,0
8041,2,1
8039,2,0
8038,2,1
8037,2,0
8036,2,2
8035,2,0
8034,2,2
8040,2,0
7961,2,2
8049,2,2
8051,2,0
8065,2,0
8064,2,2
8063,2,2
8062,2,0
8061,2,0
8060,2,0
8050,2,2
8059,2,0
8057,2,0
8056,2,0
8055,2,2
8054,2,1
8053,2,2
8052,2,0
8058,2,2
7680,2,1
7679,2,0
7678,2,1
7295,2,0
7296,2,0
7297,2,2
7298,2,0
7299,2,0
7300,2,0
7301,2,1
7302,2,0
7303,2,1
7304,2,1
7305,2,0
7306,2,2
7307,2,2
7308,2,2
7309,2,2
7310,2,2
7311,2,1
7325,2,2
7324,2,2
7323,2,0
7322,2,1
7321,2,0
7320,2,2
7294,2,1
7319,2,2
7317,2,2
7316,2,1
7315,2,2
7314,2,0
7313,2,1
7312,2,0
7318,2,0
7326,2,0
7293,2,0
7291,2,0
7260,2,1
7261,2,0
7262,2,2
7263,2,2
7264,2,0
7265,2,1
7266,2,0
7267,2,1
7268,2,1
7269,2,2
7270,2,1
7271,2,1
7272,2,0
7273,2,0
7274,2,1
7275,2,1
7276,2,1
7290,2,0
7289,2,0
7288,2,1
7287,2,1
7286,2,2
7285,2,0
7292,2,0
7284,2,2
7282,2,1
7281,2,0
7280,2,1
7279,2,0
7278,2,1
7277,2,0
7283,2,2
7259,2,0
7327,2,0
7329,2,2
7365,2,1
7366,2,1
7367,2,2
7368,2,0
7369,2,0
7370,2,0
7371,2,1
7372,2,2
7373,2,0
7374,2,0
7375,2,0
7376,2,0
7377,2,0
7378,2,1
7379,2,2
7380,2,2
7381,2,0
7395,2,0
7394,2,0
7393,2,1
7392,2,0
7391,2,1
7390,2,2
7364,2,0
7389,2,0
7387,2,0
7386,2,0
7385,2,1
7384,2,0
7383,2,1
7382,2,0
7388,2,0
7328,2,2
7363,2,2
7361,2,0
7330,2,0
7331,2,1
7332,2,0
7333,2,0
7334,2,2
7335,2,0
7336,2,1
7337,2,0
7338,2,1
7339,2,2
7340,2,0
7341,2,0
7342,2,0
7343,2,1
7344,2,0
7345,2,0
7346,2,1
7360,2,1
7359,2,1
7358,2,1
7357,2,0
7356,2,0
7355,2,0
7362,2,1
7354,2,2
7352,2,1
7351,2,2
7350,2,0
7349,2,1
7348,2,2
7347,2,0
7353,2,2
7258,2,0
7257,2,2
7256,2,2
7154,2,1
7155,2,0
7156,2,0
7157,2,0
7158,2,0
7159,2,0
7160,2,2
7161,2,2
7162,2,2
7163,2,0
7164,2,0
7165,2,0
7166,2,1
7167,2,0
7168,2,0
7169,2,0
7170,2,0
7184,2,1
7183,2,2
7182,2,2
7181,2,0
7180,2,0
7179,2,1
7153,2,0
7178,2,0
7176,2,0
7175,2,1
7174,2,1
7173,2,2
7172,2,2
7171,2,1
7177,2,0
7185,2,0
7152,2,0
7150,2,0
7119,2,0
7120,2,0
7121,2,1
7122,2,0
7123,2,0
7124,2,0
7125,2,0
7126,2,1
7127,2,0
7128,2,1
7129,2,1
7130,2,2
7131,2,0
7132,2,2
7133,2,1
7134,2,1
7135,2,0
7149,2,1
7148,2,0
7147,2,2
7146,2,1
7145,2,0
7144,2,0
7151,2,1
7143,2,0
7141,2,0
7140,2,2
7139,2,0
7138,2,1
7137,2,0
7136,2,1
7142,2,0
7186,2,0
7187,2,0
7188,2,1
7225,2,1
7226,2,0
7227,2,0
7228,2,0
7229,2,1
7230,2,2
7231,2,2
7232,2,0
7233,2,1
7234,2,0
7235,2,1
7236,2,0
7237,2,2
7238,2,0
7239,2,1
7240,2,0
7241,2,2
7255,2,1
7254,2,0
7253,2,0
7252,2,0
7251,2,1
7250,2,0
7224,2,1
7249,2,2
7247,2,0
7246,2,0
7245,2,0
7244,2,0
7243,2,0
7242,2,1
7248,2,2
7223,2,0
7222,2,0
7221,2,0
7202,2,0
7201,2,0
7200,2,1
7199,2,0
7198,2,0
7197,2,0
7203,2,1
7196,2,1
7194,2,0
7193,2,0
7192,2,0
7191,2,1
7190,2,0
7189,2,1
7195,2,2
7396,2,2
7204,2,0
7206,2,0
7220,2,0
7219,2,0
7218,2,0
7217,2,0
7216,2,1
7215,2,2
7205,2,2
7214,2,1
7212,2,2
7211,2,0
7210,2,0
7209,2,0
7208,2,0
7207,2,0
7213,2,1
7397,2,0
7398,2,1
7399,2,0
7576,2,0
7577,2,0
7578,2,2
7579,2,0
7580,2,1
7581,2,1
7582,2,1
7583,2,2
7584,2,0
7585,2,1
7586,2,0
7587,2,0
7588,2,1
7589,2,1
7590,2,2
7591,2,1
7592,2,1
7606,2,1
7605,2,0
7604,2,2
7603,2,1
7602,2,1
7601,2,2
7575,2,0
7600,2,0
7598,2,1
7597,2,1
7596,2,0
7595,2,2
7594,2,0
7593,2,1
7599,2,0
7607,2,2
7574,2,1
7572,2,1
7541,2,1
7542,2,0
7543,2,0
7544,2,0
7545,2,0
7546,2,0
7547,2,0
7548,2,1
7549,2,0
7550,2,0
7551,2,2
7552,2,2
7553,2,0
7554,2,2
7555,2,2
7556,2,0
7557,2,0
7571,2,1
7570,2,1
7569,2,2
7568,2,1
7567,2,0
7566,2,0
7573,2,1
7565,2,0
7563,2,0
